| time |    in    |shift|   out    |
| 0+   | 00000000 |  0  | 00000000 |
| 1    | 00000000 |  0  | 00000000 |
| 1+   | 01001100 |  0  | 00000000 |
| 2    | 01001100 |  0  | 01001100 |
| 2+   | 01001100 |  0  | 01001100 |
| 3    | 01001100 |  0  | 01001100 |
| 3+   | 01001100 |  1  | 01001100 |
| 4    | 01001100 |  1  | 10011000 |
| 4+   | 01001100 |  1  | 10011000 |
| 5    | 01001100 |  1  | 00110000 |
| 5+   | 01001100 |  1  | 00110000 |
| 6    | 01001100 |  1  | 01100000 |
| 6+   | 01010101 |  1  | 01100000 |
| 7    | 01010101 |  1  | 11000000 |
| 7+   | 01010101 |  0  | 11000000 |
| 8    | 01010101 |  0  | 01010101 |
| 8+   | 01010101 |  0  | 01010101 |
| 9    | 01010101 |  0  | 01010101 |
| 9+   | 01010101 |  1  | 01010101 |
| 10   | 01010101 |  1  | 10101010 |
| 10+  | 01010101 |  1  | 10101010 |
| 11   | 01010101 |  1  | 01010100 |
| 11+  | 01010101 |  1  | 01010100 |
| 12   | 01010101 |  1  | 10101000 |
| 12+  | 01010101 |  1  | 10101000 |
| 13   | 01010101 |  1  | 01010000 |
| 13+  | 01010101 |  1  | 01010000 |
| 14   | 01010101 |  1  | 10100000 |
| 14+  | 01010101 |  1  | 10100000 |
| 15   | 01010101 |  1  | 01000000 |
| 15+  | 01010101 |  1  | 01000000 |
| 16   | 01010101 |  1  | 10000000 |
| 16+  | 01010101 |  1  | 10000000 |
| 17   | 01010101 |  1  | 00000000 |
| 17+  | 01010101 |  1  | 00000000 |
| 18   | 01010101 |  1  | 00000000 |
