| time |       in0        |       in1        |load |       out0       |       out1       |
| 0+   | 0000000000000000 | 0000000000000000 |  0  | 0000000000000000 | 0000000000000000 |
| 1    | 0000000000000000 | 0000000000000000 |  0  | 0000000000000000 | 0000000000000000 |
| 1+   | 0000000000000000 | 0000000000000000 |  1  | 0000000000000000 | 0000000000000000 |
| 2    | 0000000000000000 | 0000000000000000 |  1  | 0000000000000000 | 0000000000000000 |
| 2+   | 0000000000000001 | 0000000000000001 |  0  | 0000000000000000 | 0000000000000000 |
| 3    | 0000000000000001 | 0000000000000001 |  0  | 0000000000000000 | 0000000000000000 |
| 3+   | 0000000000000001 | 0000000000000001 |  1  | 0000000000000000 | 0000000000000000 |
| 4    | 0000000000000001 | 0000000000000001 |  1  | 0000000000000001 | 0000000000000001 |
| 4+   | 0000000000000010 | 0000000000000010 |  0  | 0000000000000001 | 0000000000000001 |
| 5    | 0000000000000010 | 0000000000000010 |  0  | 0000000000000001 | 0000000000000001 |
| 5+   | 0000000000000010 | 0000000000000010 |  1  | 0000000000000001 | 0000000000000001 |
| 6    | 0000000000000010 | 0000000000000010 |  1  | 0000000000000010 | 0000000000000010 |
| 6+   | 0000000000000100 | 0000000000000100 |  0  | 0000000000000010 | 0000000000000010 |
| 7    | 0000000000000100 | 0000000000000100 |  0  | 0000000000000010 | 0000000000000010 |
| 7+   | 0000000000000100 | 0000000000000100 |  1  | 0000000000000010 | 0000000000000010 |
| 8    | 0000000000000100 | 0000000000000100 |  1  | 0000000000000100 | 0000000000000100 |
| 8+   | 0000000000001000 | 0000000000001000 |  0  | 0000000000000100 | 0000000000000100 |
| 9    | 0000000000001000 | 0000000000001000 |  0  | 0000000000000100 | 0000000000000100 |
| 9+   | 0000000000001000 | 0000000000001000 |  1  | 0000000000000100 | 0000000000000100 |
| 10   | 0000000000001000 | 0000000000001000 |  1  | 0000000000001000 | 0000000000001000 |
| 10+  | 0000000000010000 | 0000000000010000 |  0  | 0000000000001000 | 0000000000001000 |
| 11   | 0000000000010000 | 0000000000010000 |  0  | 0000000000001000 | 0000000000001000 |
| 11+  | 0000000000010000 | 0000000000010000 |  1  | 0000000000001000 | 0000000000001000 |
| 12   | 0000000000010000 | 0000000000010000 |  1  | 0000000000010000 | 0000000000010000 |
| 12+  | 0000000000100000 | 0000000000100000 |  0  | 0000000000010000 | 0000000000010000 |
| 13   | 0000000000100000 | 0000000000100000 |  0  | 0000000000010000 | 0000000000010000 |
| 13+  | 0000000000100000 | 0000000000100000 |  1  | 0000000000010000 | 0000000000010000 |
| 14   | 0000000000100000 | 0000000000100000 |  1  | 0000000000100000 | 0000000000100000 |
| 14+  | 0000000001000000 | 0000000001000000 |  0  | 0000000000100000 | 0000000000100000 |
| 15   | 0000000001000000 | 0000000001000000 |  0  | 0000000000100000 | 0000000000100000 |
| 15+  | 0000000001000000 | 0000000001000000 |  1  | 0000000000100000 | 0000000000100000 |
| 16   | 0000000001000000 | 0000000001000000 |  1  | 0000000001000000 | 0000000001000000 |
| 16+  | 0000000010000000 | 0000000010000000 |  0  | 0000000001000000 | 0000000001000000 |
| 17   | 0000000010000000 | 0000000010000000 |  0  | 0000000001000000 | 0000000001000000 |
| 17+  | 0000000010000000 | 0000000010000000 |  1  | 0000000001000000 | 0000000001000000 |
| 18   | 0000000010000000 | 0000000010000000 |  1  | 0000000010000000 | 0000000010000000 |
| 18+  | 0000000100000000 | 0000000100000000 |  0  | 0000000010000000 | 0000000010000000 |
| 19   | 0000000100000000 | 0000000100000000 |  0  | 0000000010000000 | 0000000010000000 |
| 19+  | 0000000100000000 | 0000000100000000 |  1  | 0000000010000000 | 0000000010000000 |
| 20   | 0000000100000000 | 0000000100000000 |  1  | 0000000100000000 | 0000000100000000 |
| 20+  | 0000001000000000 | 0000001000000000 |  0  | 0000000100000000 | 0000000100000000 |
| 21   | 0000001000000000 | 0000001000000000 |  0  | 0000000100000000 | 0000000100000000 |
| 21+  | 0000001000000000 | 0000001000000000 |  1  | 0000000100000000 | 0000000100000000 |
| 22   | 0000001000000000 | 0000001000000000 |  1  | 0000001000000000 | 0000001000000000 |
| 22+  | 0000010000000000 | 0000010000000000 |  0  | 0000001000000000 | 0000001000000000 |
| 23   | 0000010000000000 | 0000010000000000 |  0  | 0000001000000000 | 0000001000000000 |
| 23+  | 0000010000000000 | 0000010000000000 |  1  | 0000001000000000 | 0000001000000000 |
| 24   | 0000010000000000 | 0000010000000000 |  1  | 0000010000000000 | 0000010000000000 |
| 24+  | 0000100000000000 | 0000100000000000 |  0  | 0000010000000000 | 0000010000000000 |
| 25   | 0000100000000000 | 0000100000000000 |  0  | 0000010000000000 | 0000010000000000 |
| 25+  | 0000100000000000 | 0000100000000000 |  1  | 0000010000000000 | 0000010000000000 |
| 26   | 0000100000000000 | 0000100000000000 |  1  | 0000100000000000 | 0000100000000000 |
| 26+  | 0001000000000000 | 0001000000000000 |  0  | 0000100000000000 | 0000100000000000 |
| 27   | 0001000000000000 | 0001000000000000 |  0  | 0000100000000000 | 0000100000000000 |
| 27+  | 0001000000000000 | 0001000000000000 |  1  | 0000100000000000 | 0000100000000000 |
| 28   | 0001000000000000 | 0001000000000000 |  1  | 0001000000000000 | 0001000000000000 |
| 28+  | 0010000000000000 | 0010000000000000 |  0  | 0001000000000000 | 0001000000000000 |
| 29   | 0010000000000000 | 0010000000000000 |  0  | 0001000000000000 | 0001000000000000 |
| 29+  | 0010000000000000 | 0010000000000000 |  1  | 0001000000000000 | 0001000000000000 |
| 30   | 0010000000000000 | 0010000000000000 |  1  | 0010000000000000 | 0010000000000000 |
| 30+  | 0100000000000000 | 0100000000000000 |  0  | 0010000000000000 | 0010000000000000 |
| 31   | 0100000000000000 | 0100000000000000 |  0  | 0010000000000000 | 0010000000000000 |
| 31+  | 0100000000000000 | 0100000000000000 |  1  | 0010000000000000 | 0010000000000000 |
| 32   | 0100000000000000 | 0100000000000000 |  1  | 0100000000000000 | 0100000000000000 |
| 32+  | 1000000000000000 | 1000000000000000 |  0  | 0100000000000000 | 0100000000000000 |
| 33   | 1000000000000000 | 1000000000000000 |  0  | 0100000000000000 | 0100000000000000 |
| 33+  | 1000000000000000 | 1000000000000000 |  1  | 0100000000000000 | 0100000000000000 |
| 34   | 1000000000000000 | 1000000000000000 |  1  | 1000000000000000 | 1000000000000000 |
| 34+  | 1111111111111110 | 1111111111111110 |  0  | 1000000000000000 | 1000000000000000 |
| 35   | 1111111111111110 | 1111111111111110 |  0  | 1000000000000000 | 1000000000000000 |
| 35+  | 1111111111111110 | 1111111111111110 |  1  | 1000000000000000 | 1000000000000000 |
| 36   | 1111111111111110 | 1111111111111110 |  1  | 1111111111111110 | 1111111111111110 |
